Back to index,JAPAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABLE 3.1.  BARLEY:  Producer Single Commodity Transfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Description,Formula / Source,Currency / Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP,I.  Level of production   ,,,MPS table,000 tons,344.00,353.00,399.00,371.00,346.00,283.00,286.00,283.00,225.00,218.00,233.00,193.00,144.00,205.00,214.00,206.00,218.00,199.00,199.00,183.00,174.00,195.00,217.00,180.00,162.27,172.00,169.59,178.21,169.00,174.88,170.40,183.43,171.68,218.80,217.03,232.15,227.99,225.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VP,II.  Value of production (at farm gate)  ,,,MPS table,JPY bn,60.72,58.35,62.82,55.76,50.36,40.13,41.10,41.09,33.05,30.52,33.43,26.34,19.30,28.18,15.23,13.63,14.59,13.41,11.82,12.35,10.42,12.04,14.58,14.20,12.10,11.14,11.73,12.67,11.59,12.25,11.55,12.36,11.83,13.58,12.91,13.97,13.39,13.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSCT,III. Producer Single Commodity Transfers,,"Includes Barley specific programmes in A, B, C and D",A+B+C+D,JPY bn,52.41,50.47,52.82,43.92,37.98,33.36,32.79,34.33,28.52,25.61,25.84,20.45,15.26,23.71,20.49,18.50,19.05,21.67,17.17,16.95,14.65,5.98,7.32,12.43,11.20,15.43,15.56,15.50,14.24,15.78,15.31,14.63,15.43,13.63,15.45,12.77,10.70,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A.  Support based on commodity outputs,,,A1+A2,JPY bn,52.41,50.47,52.82,43.92,37.98,33.36,32.79,34.33,28.52,25.61,25.84,20.45,15.26,23.71,20.49,18.50,19.05,21.67,17.17,16.95,14.65,5.98,7.32,12.43,11.20,15.43,15.56,15.50,14.24,15.78,15.31,14.63,15.43,13.63,15.45,12.77,10.70,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               A1.  Market Price Support  ,,MPS for Barley,TOTAL table,JPY bn,51.21,49.37,51.72,42.82,36.98,32.36,31.89,33.43,27.62,24.71,24.94,19.55,14.36,22.81,10.19,8.00,8.25,7.47,6.07,6.95,4.65,1.58,2.92,7.93,6.70,4.93,5.06,4.70,3.34,4.78,5.51,5.43,5.23,3.63,3.65,2.47,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               A2.  Payments based on output,,Barley specific programmes in A2,TOTAL table,JPY bn,1.20,1.10,1.10,1.10,1.00,1.00,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,10.30,10.50,10.80,14.20,11.10,10.00,10.00,4.40,4.40,4.50,4.50,10.50,10.50,10.80,10.90,11.00,9.80,9.20,10.20,10.00,11.80,10.30,10.70,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B.  Payments based on input use,,,B1+B2+B3,JPY bn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,                B1.  Variable input use,,Barley specific programmes in B1,TOTAL table,JPY bn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,                B2.  Fixed capital formation,,Barley specific programmes in B2,TOTAL table,JPY bn,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
